text,char,word,index,index_num,line,id
"These poor rude lines of thy deceased lover,",44,8,XXXII,32,4,470
"Compare them with the bett'ring of the time,",44,8,XXXII,32,5,471
"And though they be outstripp'd by every pen,",44,8,XXXII,32,6,472
"Reserve them for my love, not for their rhyme,",46,9,XXXII,32,7,473
Exceeded by the height of happier men.,38,7,XXXII,32,8,474
O! then vouchsafe me but this loving thought:,45,8,XXXII,32,9,475
"'Had my friend's Muse grown with this growing age,",50,9,XXXII,32,10,476
"A dearer birth than this his love had brought,",46,9,XXXII,32,11,477
To march in ranks of better equipage:,37,7,XXXII,32,12,478
"But since he died and poets better prove,",41,8,XXXII,32,13,479
"Theirs for their style I'll read, his for his love'.",52,10,XXXII,32,14,480
XXXIII,6,1,XXXIII,33,0,481
Full many a glorious morning have I seen,40,8,XXXIII,33,1,482
"Flatter the mountain tops with sovereign eye,",45,7,XXXIII,33,2,483
"Kissing with golden face the meadows green,",43,7,XXXIII,33,3,484
Gilding pale streams with heavenly alchemy;,43,6,XXXIII,33,4,485
Anon permit the basest clouds to ride,37,7,XXXIII,33,5,486
"With ugly rack on his celestial face,",37,7,XXXIII,33,6,487
"And from the forlorn world his visage hide,",43,8,XXXIII,33,7,488
Stealing unseen to west with this disgrace:,43,7,XXXIII,33,8,489
"Even so my sun one early morn did shine,",40,9,XXXIII,33,9,490
With all triumphant splendour on my brow;,41,7,XXXIII,33,10,491
"But out! alack! he was but one hour mine,",41,9,XXXIII,33,11,492
The region cloud hath mask'd him from me now.,45,9,XXXIII,33,12,493
Yet him for this my love no whit disdaineth;,44,9,XXXIII,33,13,494
Suns of the world may stain when heaven's sun staineth.,55,10,XXXIII,33,14,495
XXXIV,5,1,XXXIV,34,0,496
"Why didst thou promise such a beauteous day,",44,8,XXXIV,34,1,497
"And make me travel forth without my cloak,",42,8,XXXIV,34,2,498
"To let base clouds o'ertake me in my way,",41,9,XXXIV,34,3,499
Hiding thy bravery in their rotten smoke?,41,7,XXXIV,34,4,500
"'Tis not enough that through the cloud thou break,",50,9,XXXIV,34,5,501
"To dry the rain on my storm-beaten face,",40,8,XXXIV,34,6,502
"For no man well of such a salve can speak,",42,10,XXXIV,34,7,503
"That heals the wound, and cures not the disgrace:",49,9,XXXIV,34,8,504
Nor can thy shame give physic to my grief;,42,9,XXXIV,34,9,505
"Though thou repent, yet I have still the loss:",46,9,XXXIV,34,10,506
The offender's sorrow lends but weak relief,43,7,XXXIV,34,11,507
To him that bears the strong offence's cross.,45,8,XXXIV,34,12,508
"Ah! but those tears are pearl which thy love sheds,",51,10,XXXIV,34,13,509
And they are rich and ransom all ill deeds.,43,9,XXXIV,34,14,510
XXXV,4,1,XXXV,35,0,511
No more be griev'd at that which thou hast done:,48,10,XXXV,35,1,512
"Roses have thorns, and silver fountains mud:",44,7,XXXV,35,2,513
"Clouds and eclipses stain both moon and sun,",44,8,XXXV,35,3,514
And loathsome canker lives in sweetest bud.,43,7,XXXV,35,4,515
"All men make faults, and even I in this,",40,9,XXXV,35,5,516
"Authorizing thy trespass with compare,",38,5,XXXV,35,6,517
"Myself corrupting, salving thy amiss,",37,5,XXXV,35,7,518
Excusing thy sins more than thy sins are;,41,8,XXXV,35,8,519
"For to thy sensual fault I bring in sense,--",44,9,XXXV,35,9,520
"Thy adverse party is thy advocate,--",36,6,XXXV,35,10,521
And 'gainst myself a lawful plea commence:,42,7,XXXV,35,11,522
"Such civil war is in my love and hate,",38,9,XXXV,35,12,523
"That I an accessary needs must be,",34,7,XXXV,35,13,524
To that sweet thief which sourly robs from me.,46,9,XXXV,35,14,525
XXXVI,5,1,XXXVI,36,0,526
"Let me confess that we two must be twain,",41,9,XXXVI,36,1,527
Although our undivided loves are one:,37,6,XXXVI,36,2,528
"So shall those blots that do with me remain,",44,9,XXXVI,36,3,529
"Without thy help, by me be borne alone.",39,8,XXXVI,36,4,530
"In our two loves there is but one respect,",42,9,XXXVI,36,5,531
"Though in our lives a separable spite,",38,7,XXXVI,36,6,532
"Which though it alter not love's sole effect,",45,8,XXXVI,36,7,533
Yet doth it steal sweet hours from love's delight.,50,9,XXXVI,36,8,534
"I may not evermore acknowledge thee,",36,6,XXXVI,36,9,535
"Lest my bewailed guilt should do thee shame,",44,8,XXXVI,36,10,536
"Nor thou with public kindness honour me,",40,7,XXXVI,36,11,537
Unless thou take that honour from thy name:,43,8,XXXVI,36,12,538
"But do not so, I love thee in such sort,",40,10,XXXVI,36,13,539
"As thou being mine, mine is thy good report.",44,9,XXXVI,36,14,540
XXXVII,6,1,XXXVII,37,0,541
As a decrepit father takes delight,34,6,XXXVII,37,1,542
"To see his active child do deeds of youth,",42,9,XXXVII,37,2,543
"So I, made lame by Fortune's dearest spite,",43,8,XXXVII,37,3,544
Take all my comfort of thy worth and truth;,43,9,XXXVII,37,4,545
"For whether beauty, birth, or wealth, or wit,",45,8,XXXVII,37,5,546
"Or any of these all, or all, or more,",37,9,XXXVII,37,6,547
"Entitled in thy parts, do crowned sit,",38,7,XXXVII,37,7,548
"I make my love engrafted, to this store:",40,8,XXXVII,37,8,549
"So then I am not lame, poor, nor despis'd,",42,9,XXXVII,37,9,550
Whilst that this shadow doth such substance give,48,8,XXXVII,37,10,551
"That I in thy abundance am suffic'd,",36,7,XXXVII,37,11,552
And by a part of all thy glory live.,36,9,XXXVII,37,12,553
"Look what is best, that best I wish in thee:",44,10,XXXVII,37,13,554
This wish I have; then ten times happy me!,42,9,XXXVII,37,14,555
XXXVIII,7,1,XXXVIII,38,0,556
"How can my muse want subject to invent,",39,8,XXXVIII,38,1,557
"While thou dost breathe, that pour'st into my verse",51,9,XXXVIII,38,2,558
"Thine own sweet argument, too excellent",39,6,XXXVIII,38,3,559
For every vulgar paper to rehearse?,35,6,XXXVIII,38,4,560
"O! give thy self the thanks, if aught in me",43,10,XXXVIII,38,5,561
Worthy perusal stand against thy sight;,39,6,XXXVIII,38,6,562
"For who's so dumb that cannot write to thee,",44,9,XXXVIII,38,7,563
When thou thy self dost give invention light?,45,8,XXXVIII,38,8,564
"Be thou the tenth Muse, ten times more in worth",47,10,XXXVIII,38,9,565
Than those old nine which rhymers invocate;,43,7,XXXVIII,38,10,566
"And he that calls on thee, let him bring forth",46,10,XXXVIII,38,11,567
Eternal numbers to outlive long date.,37,6,XXXVIII,38,12,568
"If my slight muse do please these curious days,",47,9,XXXVIII,38,13,569
"The pain be mine, but thine shall be the praise.",48,10,XXXVIII,38,14,570
XXXIX,5,1,XXXIX,39,0,571
"O! how thy worth with manners may I sing,",41,9,XXXIX,39,1,572
When thou art all the better part of me?,40,9,XXXIX,39,2,573
What can mine own praise to mine own self bring?,48,10,XXXIX,39,3,574
And what is't but mine own when I praise thee?,46,10,XXXIX,39,4,575
"Even for this, let us divided live,",35,7,XXXIX,39,5,576
"And our dear love lose name of single one,",42,9,XXXIX,39,6,577
That by this separation I may give,34,7,XXXIX,39,7,578
That due to thee which thou deserv'st alone.,44,8,XXXIX,39,8,579
"O absence! what a torment wouldst thou prove,",45,8,XXXIX,39,9,580
"Were it not thy sour leisure gave sweet leave,",46,9,XXXIX,39,10,581
"To entertain the time with thoughts of love,",44,8,XXXIX,39,11,582
"Which time and thoughts so sweetly doth deceive,",48,8,XXXIX,39,12,583
"And that thou teachest how to make one twain,",45,9,XXXIX,39,13,584
By praising him here who doth hence remain.,43,8,XXXIX,39,14,585
XL,2,1,XL,40,0,586
"Take all my loves, my love, yea take them all;",46,10,XL,40,1,587
What hast thou then more than thou hadst before?,48,9,XL,40,2,588
"No love, my love, that thou mayst true love call;",49,10,XL,40,3,589
"All mine was thine, before thou hadst this more.",48,9,XL,40,4,590
"Then, if for my love, thou my love receivest,",45,9,XL,40,5,591
"I cannot blame thee, for my love thou usest;",44,9,XL,40,6,592
"But yet be blam'd, if thou thy self deceivest",45,9,XL,40,7,593
By wilful taste of what thyself refusest.,41,7,XL,40,8,594
"I do forgive thy robbery, gentle thief,",39,7,XL,40,9,595
Although thou steal thee all my poverty:,40,7,XL,40,10,596
"And yet, love knows it is a greater grief",41,9,XL,40,11,597
"To bear love's wrong, than hate's known injury.",47,8,XL,40,12,598
"Lascivious grace, in whom all ill well shows,",45,8,XL,40,13,599
Kill me with spites yet we must not be foes.,44,10,XL,40,14,600
XLI,3,1,XLI,41,0,601
"Those pretty wrongs that liberty commits,",41,6,XLI,41,1,602
"When I am sometime absent from thy heart,",41,8,XLI,41,2,603
"Thy beauty, and thy years full well befits,",43,8,XLI,41,3,604
For still temptation follows where thou art.,44,7,XLI,41,4,605
"Gentle thou art, and therefore to be won,",41,8,XLI,41,5,606
"Beauteous thou art, therefore to be assail'd;",45,7,XLI,41,6,607
"And when a woman woos, what woman's son",39,8,XLI,41,7,608
Will sourly leave her till he have prevail'd?,45,8,XLI,41,8,609
"Ay me! but yet thou mightst my seat forbear,",44,9,XLI,41,9,610
"And chide thy beauty and thy straying youth,",44,8,XLI,41,10,611
Who lead thee in their riot even there,38,8,XLI,41,11,612
Where thou art forced to break a twofold truth:--,49,9,XLI,41,12,613
"Hers by thy beauty tempting her to thee,",40,8,XLI,41,13,614
Thine by thy beauty being false to me.,38,8,XLI,41,14,615
XLII,4,1,XLII,42,0,616
"That thou hast her it is not all my grief,",42,10,XLII,42,1,617
And yet it may be said I loved her dearly;,42,10,XLII,42,2,618
"That she hath thee is of my wailing chief,",42,9,XLII,42,3,619
A loss in love that touches me more nearly.,43,9,XLII,42,4,620
Loving offenders thus I will excuse ye:,39,7,XLII,42,5,621
"Thou dost love her, because thou know'st I love her;",52,10,XLII,42,6,622
"And for my sake even so doth she abuse me,",42,10,XLII,42,7,623
Suffering my friend for my sake to approve her.,47,9,XLII,42,8,624
"If I lose thee, my loss is my love's gain,",42,10,XLII,42,9,625
"And losing her, my friend hath found that loss;",47,9,XLII,42,10,626
"Both find each other, and I lose both twain,",44,9,XLII,42,11,627
And both for my sake lay on me this cross:,42,10,XLII,42,12,628
But here's the joy; my friend and I are one;,44,10,XLII,42,13,629
Sweet flattery! then she loves but me alone.,44,8,XLII,42,14,630
XLIII,5,1,XLIII,43,0,631
"When most I wink, then do mine eyes best see,",45,10,XLIII,43,1,632
For all the day they view things unrespected;,45,8,XLIII,43,2,633
"But when I sleep, in dreams they look on thee,",46,10,XLIII,43,3,634
"And darkly bright, are bright in dark directed.",47,8,XLIII,43,4,635
"Then thou, whose shadow shadows doth make bright,",49,8,XLIII,43,5,636
How would thy shadow's form form happy show,43,8,XLIII,43,6,637
"To the clear day with thy much clearer light,",45,9,XLIII,43,7,638
When to unseeing eyes thy shade shines so!,42,8,XLIII,43,8,639
"How would, I say, mine eyes be blessed made",43,9,XLIII,43,9,640
"By looking on thee in the living day,",37,8,XLIII,43,10,641
When in dead night thy fair imperfect shade,43,8,XLIII,43,11,642
Through heavy sleep on sightless eyes doth stay!,48,8,XLIII,43,12,643
"All days are nights to see till I see thee,",43,10,XLIII,43,13,644
And nights bright days when dreams do show thee me.,51,10,XLIII,43,14,645
XLIV,4,1,XLIV,44,0,646
"If the dull substance of my flesh were thought,",47,9,XLIV,44,1,647
Injurious distance should not stop my way;,42,7,XLIV,44,2,648
"For then despite of space I would be brought,",45,9,XLIV,44,3,649
"From limits far remote, where thou dost stay.",45,8,XLIV,44,4,650
No matter then although my foot did stand,41,8,XLIV,44,5,651
Upon the farthest earth remov'd from thee;,42,7,XLIV,44,6,652
"For nimble thought can jump both sea and land,",46,9,XLIV,44,7,653
As soon as think the place where he would be.,45,10,XLIV,44,8,654
"But, ah! thought kills me that I am not thought,",48,10,XLIV,44,9,655
"To leap large lengths of miles when thou art gone,",50,10,XLIV,44,10,656
"But that so much of earth and water wrought,",44,9,XLIV,44,11,657
I must attend time's leisure with my moan;,42,8,XLIV,44,12,658
Receiving nought by elements so slow,36,6,XLIV,44,13,659
"But heavy tears, badges of either's woe.",40,7,XLIV,44,14,660
XLV,3,1,XLV,45,0,661
"The other two, slight air, and purging fire",43,8,XLV,45,1,662
"Are both with thee, wherever I abide;",37,7,XLV,45,2,663
"The first my thought, the other my desire,",42,8,XLV,45,3,664
These present-absent with swift motion slide.,45,6,XLV,45,4,665
For when these quicker elements are gone,40,7,XLV,45,5,666
"In tender embassy of love to thee,",34,7,XLV,45,6,667
"My life, being made of four, with two alone",43,9,XLV,45,7,668
"Sinks down to death, oppress'd with melancholy;",47,7,XLV,45,8,669
Until life's composition be recur'd,35,5,XLV,45,9,670
"By those swift messengers return'd from thee,",45,7,XLV,45,10,671
"Who even but now come back again, assur'd,",42,8,XLV,45,11,672
"Of thy fair health, recounting it to me:",40,8,XLV,45,12,673
"This told, I joy; but then no longer glad,",42,9,XLV,45,13,674
"I send them back again, and straight grow sad.",46,9,XLV,45,14,675
XLVI,4,1,XLVI,46,0,676
"Mine eye and heart are at a mortal war,",39,9,XLVI,46,1,677
How to divide the conquest of thy sight;,40,8,XLVI,46,2,678
"Mine eye my heart thy picture's sight would bar,",48,9,XLVI,46,3,679
My heart mine eye the freedom of that right.,44,9,XLVI,46,4,680
"My heart doth plead that thou in him dost lie,--",48,10,XLVI,46,5,681
A closet never pierc'd with crystal eyes--,42,7,XLVI,46,6,682
"But the defendant doth that plea deny,",38,7,XLVI,46,7,683
And says in him thy fair appearance lies.,41,8,XLVI,46,8,684
To side this title is impannelled,33,6,XLVI,46,9,685
"A quest of thoughts, all tenants to the heart;",46,9,XLVI,46,10,686
And by their verdict is determined,34,6,XLVI,46,11,687
"The clear eye's moiety, and the dear heart's part:",50,9,XLVI,46,12,688
"As thus; mine eye's due is thy outward part,",44,9,XLVI,46,13,689
"And my heart's right, thy inward love of heart.",47,9,XLVI,46,14,690
XLVII,5,1,XLVII,47,0,691
"Betwixt mine eye and heart a league is took,",44,9,XLVII,47,1,692
And each doth good turns now unto the other:,44,9,XLVII,47,2,693
"When that mine eye is famish'd for a look,",42,9,XLVII,47,3,694
"Or heart in love with sighs himself doth smother,",49,9,XLVII,47,4,695
"With my love's picture then my eye doth feast,",46,9,XLVII,47,5,696
And to the painted banquet bids my heart;,41,8,XLVII,47,6,697
"Another time mine eye is my heart's guest,",42,8,XLVII,47,7,698
And in his thoughts of love doth share a part:,46,10,XLVII,47,8,699
"So, either by thy picture or my love,",37,8,XLVII,47,9,700
"Thy self away, art present still with me;",41,8,XLVII,47,10,701
"For thou not farther than my thoughts canst move,",49,9,XLVII,47,11,702
"And I am still with them, and they with thee;",45,10,XLVII,47,12,703
"Or, if they sleep, thy picture in my sight",42,9,XLVII,47,13,704
"Awakes my heart, to heart's and eye's delight.",46,8,XLVII,47,14,705
XLVIII,6,1,XLVIII,48,0,706
"How careful was I when I took my way,",37,9,XLVIII,48,1,707
"Each trifle under truest bars to thrust,",40,7,XLVIII,48,2,708
That to my use it might unused stay,35,8,XLVIII,48,3,709
"From hands of falsehood, in sure wards of trust!",48,9,XLVIII,48,4,710
"But thou, to whom my jewels trifles are,",40,8,XLVIII,48,5,711
"Most worthy comfort, now my greatest grief,",43,7,XLVIII,48,6,712
"Thou best of dearest, and mine only care,",41,8,XLVIII,48,7,713
Art left the prey of every vulgar thief.,40,8,XLVIII,48,8,714
"Thee have I not lock'd up in any chest,",39,9,XLVIII,48,9,715
"Save where thou art not, though I feel thou art,",48,10,XLVIII,48,10,716
"Within the gentle closure of my breast,",39,7,XLVIII,48,11,717
From whence at pleasure thou mayst come and part;,49,9,XLVIII,48,12,718
"And even thence thou wilt be stol'n I fear,",43,9,XLVIII,48,13,719
For truth proves thievish for a prize so dear.,46,9,XLVIII,48,14,720
XLIX,4,1,XLIX,49,0,721
"Against that time, if ever that time come,",42,8,XLIX,49,1,722
"When I shall see thee frown on my defects,",42,9,XLIX,49,2,723
"When as thy love hath cast his utmost sum,",42,9,XLIX,49,3,724
Call'd to that audit by advis'd respects;,41,7,XLIX,49,4,725
"Against that time when thou shalt strangely pass,",49,8,XLIX,49,5,726
"And scarcely greet me with that sun, thine eye,",47,9,XLIX,49,6,727
"When love, converted from the thing it was,",43,8,XLIX,49,7,728
Shall reasons find of settled gravity;,38,6,XLIX,49,8,729
"Against that time do I ensconce me here,",40,8,XLIX,49,9,730
"Within the knowledge of mine own desert,",40,7,XLIX,49,10,731
"And this my hand, against my self uprear,",41,8,XLIX,49,11,732
To guard the lawful reasons on thy part:,40,8,XLIX,49,12,733
"To leave poor me thou hast the strength of laws,",48,10,XLIX,49,13,734
Since why to love I can allege no cause.,40,9,XLIX,49,14,735
L,1,1,L,50,0,736
"How heavy do I journey on the way,",34,8,L,50,1,737
"When what I seek, my weary travel's end,",40,8,L,50,2,738
"Doth teach that ease and that repose to say,",44,9,L,50,3,739
'Thus far the miles are measured from thy friend!',50,9,L,50,4,740
"The beast that bears me, tired with my woe,",43,9,L,50,5,741
"Plods dully on, to bear that weight in me,",42,9,L,50,6,742
As if by some instinct the wretch did know,42,9,L,50,7,743
"His rider lov'd not speed, being made from thee:",48,9,L,50,8,744
"The bloody spur cannot provoke him on,",38,7,L,50,9,745
"That sometimes anger thrusts into his hide,",43,7,L,50,10,746
"Which heavily he answers with a groan,",38,7,L,50,11,747
More sharp to me than spurring to his side;,43,9,L,50,12,748
"For that same groan doth put this in my mind,",45,10,L,50,13,749
"My grief lies onward, and my joy behind.",40,8,L,50,14,750
LI,2,1,LI,51,0,751
Thus can my love excuse the slow offence,40,8,LI,51,1,752
Of my dull bearer when from thee I speed:,41,9,LI,51,2,753
From where thou art why should I haste me thence?,49,10,LI,51,3,754
"Till I return, of posting is no need.",37,8,LI,51,4,755
"O! what excuse will my poor beast then find,",44,9,LI,51,5,756
When swift extremity can seem but slow?,39,7,LI,51,6,757
"Then should I spur, though mounted on the wind,",47,9,LI,51,7,758
"In winged speed no motion shall I know,",39,8,LI,51,8,759
Then can no horse with my desire keep pace;,43,9,LI,51,9,760
"Therefore desire, of perfect'st love being made,",48,7,LI,51,10,761
Shall neigh--no dull flesh--in his fiery race;,46,7,LI,51,11,762
"But love, for love, thus shall excuse my jade,--",48,9,LI,51,12,763
"'Since from thee going, he went wilful-slow,",44,7,LI,51,13,764
"Towards thee I'll run, and give him leave to go.'",49,10,LI,51,14,765
LII,3,1,LII,52,0,766
"So am I as the rich, whose blessed key,",39,9,LII,52,1,767
"Can bring him to his sweet up-locked treasure,",46,8,LII,52,2,768
"The which he will not every hour survey,",40,8,LII,52,3,769
For blunting the fine point of seldom pleasure.,47,8,LII,52,4,770
"Therefore are feasts so solemn and so rare,",43,8,LII,52,5,771
"Since, seldom coming in that long year set,",43,8,LII,52,6,772
"Like stones of worth they thinly placed are,",44,8,LII,52,7,773
Or captain jewels in the carcanet.,34,6,LII,52,8,774
"So is the time that keeps you as my chest,",42,10,LII,52,9,775
"Or as the wardrobe which the robe doth hide,",44,9,LII,52,10,776
"To make some special instant special-blest,",43,6,LII,52,11,777
By new unfolding his imprison'd pride.,38,6,LII,52,12,778
"Blessed are you whose worthiness gives scope,",45,7,LII,52,13,779
"Being had, to triumph; being lacked, to hope.",45,8,LII,52,14,780
LIII,4,1,LIII,53,0,781
"What is your substance, whereof are you made,",45,8,LIII,53,1,782
That millions of strange shadows on you tend?,45,8,LIII,53,2,783
"Since every one, hath every one, one shade,",43,8,LIII,53,3,784
"And you but one, can every shadow lend.",39,8,LIII,53,4,785
"Describe Adonis, and the counterfeit",36,5,LIII,53,5,786
Is poorly imitated after you;,29,5,LIII,53,6,787
"On Helen's cheek all art of beauty set,",39,8,LIII,53,7,788
And you in Grecian tires are painted new:,41,8,LIII,53,8,789
"Speak of the spring, and foison of the year,",44,9,LIII,53,9,790
"The one doth shadow of your beauty show,",40,8,LIII,53,10,791
The other as your bounty doth appear;,37,7,LIII,53,11,792
And you in every blessed shape we know.,39,8,LIII,53,12,793
"In all external grace you have some part,",41,8,LIII,53,13,794
"But you like none, none you, for constant heart.",48,9,LIII,53,14,795
LIV,3,1,LIV,54,0,796
O! how much more doth beauty beauteous seem,43,8,LIV,54,1,797
By that sweet ornament which truth doth give.,45,8,LIV,54,2,798
"The rose looks fair, but fairer we it deem",42,9,LIV,54,3,799
"For that sweet odour, which doth in it live.",44,9,LIV,54,4,800
The canker blooms have full as deep a dye,41,9,LIV,54,5,801
As the perfumed tincture of the roses.,38,7,LIV,54,6,802
"Hang on such thorns, and play as wantonly",41,8,LIV,54,7,803
When summer's breath their masked buds discloses:,49,7,LIV,54,8,804
"But, for their virtue only is their show,",41,8,LIV,54,9,805
"They live unwoo'd, and unrespected fade;",40,6,LIV,54,10,806
Die to themselves. Sweet roses do not so;,41,8,LIV,54,11,807
"Of their sweet deaths, are sweetest odours made:",48,8,LIV,54,12,808
"And so of you, beauteous and lovely youth,",42,8,LIV,54,13,809
"When that shall vade, by verse distills your truth.",51,9,LIV,54,14,810
LV,2,1,LV,55,0,811
"Not marble, nor the gilded monuments",36,6,LV,55,1,812
"Of princes, shall outlive this powerful rhyme;",46,7,LV,55,2,813
But you shall shine more bright in these contents,49,9,LV,55,3,814
"Than unswept stone, besmear'd with sluttish time.",49,7,LV,55,4,815
"When wasteful war shall statues overturn,",41,6,LV,55,5,816
"And broils root out the work of masonry,",40,8,LV,55,6,817
"Nor Mars his sword, nor war's quick fire shall burn",51,10,LV,55,7,818
The living record of your memory.,33,6,LV,55,8,819
"'Gainst death, and all-oblivious enmity",39,5,LV,55,9,820
Shall you pace forth; your praise shall still find room,55,10,LV,55,10,821
Even in the eyes of all posterity,33,7,LV,55,11,822
That wear this world out to the ending doom.,44,9,LV,55,12,823
"So, till the judgment that yourself arise,",42,7,LV,55,13,824
"You live in this, and dwell in lovers' eyes.",44,9,LV,55,14,825
LVI,3,1,LVI,56,0,826
"Sweet love, renew thy force; be it not said",43,9,LVI,56,1,827
"Thy edge should blunter be than appetite,",41,7,LVI,56,2,828
"Which but to-day by feeding is allay'd,",39,7,LVI,56,3,829
To-morrow sharpened in his former might:,40,6,LVI,56,4,830
"So, love, be thou, although to-day thou fill",44,8,LVI,56,5,831
"Thy hungry eyes, even till they wink with fulness,",50,9,LVI,56,6,832
"To-morrow see again, and do not kill",36,7,LVI,56,7,833
"The spirit of love, with a perpetual dulness.",45,8,LVI,56,8,834
Let this sad interim like the ocean be,38,8,LVI,56,9,835
"Which parts the shore, where two contracted new",47,8,LVI,56,10,836
"Come daily to the banks, that when they see",43,9,LVI,56,11,837
"Return of love, more blest may be the view;",43,9,LVI,56,12,838
"Or call it winter, which being full of care,",44,9,LVI,56,13,839
"Makes summer's welcome, thrice more wished, more rare.",54,8,LVI,56,14,840
LVII,4,1,LVII,57,0,841
"Being your slave what should I do but tend,",43,9,LVII,57,1,842
"Upon the hours, and times of your desire?",41,8,LVII,57,2,843
I have no precious time at all to spend;,40,9,LVII,57,3,844
"Nor services to do, till you require.",37,7,LVII,57,4,845
"Nor dare I chide the world-without-end hour,",44,7,LVII,57,5,846
"Whilst I, my sovereign, watch the clock for you,",48,9,LVII,57,6,847
"Nor think the bitterness of absence sour,",41,7,LVII,57,7,848
When you have bid your servant once adieu;,42,8,LVII,57,8,849
Nor dare I question with my jealous thought,43,8,LVII,57,9,850
"Where you may be, or your affairs suppose,",42,8,LVII,57,10,851
"But, like a sad slave, stay and think of nought",47,10,LVII,57,11,852
"Save, where you are, how happy you make those.",46,9,LVII,57,12,853
"So true a fool is love, that in your will,",42,10,LVII,57,13,854
"Though you do anything, he thinks no ill.",41,8,LVII,57,14,855
LVIII,5,1,LVIII,58,0,856
"That god forbid, that made me first your slave,",47,9,LVIII,58,1,857
"I should in thought control your times of pleasure,",51,9,LVIII,58,2,858
"Or at your hand the account of hours to crave,",46,10,LVIII,58,3,859
"Being your vassal, bound to stay your leisure!",46,8,LVIII,58,4,860
"O! let me suffer, being at your beck,",37,8,LVIII,58,5,861
The imprison'd absence of your liberty;,39,6,LVIII,58,6,862
"And patience, tame to sufferance, bide each check,",50,8,LVIII,58,7,863
Without accusing you of injury.,31,5,LVIII,58,8,864
"Be where you list, your charter is so strong",44,9,LVIII,58,9,865
That you yourself may privilage your time,41,7,LVIII,58,10,866
To what you will; to you it doth belong,39,9,LVIII,58,11,867
Yourself to pardon of self-doing crime.,39,6,LVIII,58,12,868
"I am to wait, though waiting so be hell,",40,9,LVIII,58,13,869
Not blame your pleasure be it ill or well.,42,9,LVIII,58,14,870
LIX,3,1,LIX,59,0,871
"If there be nothing new, but that which is",42,9,LIX,59,1,872
"Hath been before, how are our brains beguil'd,",46,8,LIX,59,2,873
Which labouring for invention bear amiss,40,6,LIX,59,3,874
The second burthen of a former child!,37,7,LIX,59,4,875
"O! that record could with a backward look,",42,8,LIX,59,5,876
"Even of five hundred courses of the sun,",40,8,LIX,59,6,877
"Show me your image in some antique book,",40,8,LIX,59,7,878
Since mind at first in character was done!,42,8,LIX,59,8,879
That I might see what the old world could say,45,10,LIX,59,9,880
To this composed wonder of your frame;,38,7,LIX,59,10,881
"Wh'r we are mended, or wh'r better they,",40,8,LIX,59,11,882
Or whether revolution be the same.,34,6,LIX,59,12,883
"O! sure I am the wits of former days,",37,9,LIX,59,13,884
To subjects worse have given admiring praise.,45,7,LIX,59,14,885
LX,2,1,LX,60,0,886
"Like as the waves make towards the pebbled shore,",49,9,LX,60,1,887
So do our minutes hasten to their end;,38,8,LX,60,2,888
"Each changing place with that which goes before,",48,8,LX,60,3,889
In sequent toil all forwards do contend.,40,7,LX,60,4,890
"Nativity, once in the main of light,",36,7,LX,60,5,891
"Crawls to maturity, wherewith being crown'd,",44,6,LX,60,6,892
"Crooked eclipses 'gainst his glory fight,",41,6,LX,60,7,893
And Time that gave doth now his gift confound.,46,9,LX,60,8,894
Time doth transfix the flourish set on youth,44,8,LX,60,9,895
"And delves the parallels in beauty's brow,",42,7,LX,60,10,896
"Feeds on the rarities of nature's truth,",40,7,LX,60,11,897
And nothing stands but for his scythe to mow:,45,9,LX,60,12,898
"And yet to times in hope, my verse shall stand.",47,10,LX,60,13,899
"Praising thy worth, despite his cruel hand.",43,7,LX,60,14,900
LXI,3,1,LXI,61,0,901
"Is it thy will, thy image should keep open",42,9,LXI,61,1,902
My heavy eyelids to the weary night?,36,7,LXI,61,2,903
"Dost thou desire my slumbers should be broken,",46,8,LXI,61,3,904
While shadows like to thee do mock my sight?,44,9,LXI,61,4,905
Is it thy spirit that thou send'st from thee,44,9,LXI,61,5,906
"So far from home into my deeds to pry,",38,9,LXI,61,6,907
"To find out shames and idle hours in me,",40,9,LXI,61,7,908
The scope and tenure of thy jealousy?,37,7,LXI,61,8,909
"O, no! thy love, though much, is not so great:",46,10,LXI,61,9,910
It is my love that keeps mine eye awake:,40,9,LXI,61,10,911
"Mine own true love that doth my rest defeat,",44,9,LXI,61,11,912
To play the watchman ever for thy sake:,39,8,LXI,61,12,913
"For thee watch I, whilst thou dost wake elsewhere,",50,9,LXI,61,13,914
"From me far off, with others all too near.",42,9,LXI,61,14,915
LXII,4,1,LXII,62,0,916
Sin of self-love possesseth all mine eye,40,7,LXII,62,1,917
"And all my soul, and all my every part;",39,9,LXII,62,2,918
"And for this sin there is no remedy,",36,8,LXII,62,3,919
It is so grounded inward in my heart.,37,8,LXII,62,4,920
"Methinks no face so gracious is as mine,",40,8,LXII,62,5,921
"No shape so true, no truth of such account;",43,9,LXII,62,6,922
"And for myself mine own worth do define,",40,8,LXII,62,7,923
As I all other in all worths surmount.,38,8,LXII,62,8,924
But when my glass shows me myself indeed,40,8,LXII,62,9,925
"Beated and chopp'd with tanned antiquity,",41,6,LXII,62,10,926
Mine own self-love quite contrary I read;,41,7,LXII,62,11,927
Self so self-loving were iniquity.,34,5,LXII,62,12,928
"'Tis thee,--myself,--that for myself I praise,",46,6,LXII,62,13,929
Painting my age with beauty of thy days.,40,8,LXII,62,14,930
LXIII,5,1,LXIII,63,0,931
